,formula_pretty,band_gap
523,Ba2Hf7O16,4.0367
524,Ba2HoB2ClO6,4.0845
525,Ba2HoCl7,4.9186
526,Ba2IBrF2,4.3552
527,Ba2La3Si3O12F,4.109400000000001
528,Ba2LaCl7,4.321
529,Ba2LaCl7,4.1371
530,Ba2LaCl7,4.2082
531,Ba2LaCl7,4.4004
532,Ba2Li(BO2)5,4.951700000000001
533,Ba2Li3(PO3)7,5.451099999999999
534,Ba2LiAl(CN2)4,4.1281
535,Ba2Mg(BO2)6,4.9106000000000005
536,Ba2Mg(BO3)2,4.532399999999999
537,Ba2Mg(PO4)2,4.6678
538,Ba2Mg2MnF10,4.4494
539,Ba2Mg3F10,6.8919999999999995
540,Ba2MgCuMo2F14,4.550199999999999
541,Ba2MgSi2O7,4.4620999999999995
542,Ba2MgSi2O7,4.4529000000000005
543,Ba2Mn2ClF7,4.063599999999999
544,Ba2MnP4(H3O8)2,4.523899999999999
545,Ba2Na2B10H2O19,4.6933
546,Ba2Na2SrAl4F20,7.1081
547,Ba2Nd2Si4O13,5.046200000000001
548,Ba2Ni3F10,4.6348
549,Ba2Ni7F18,4.4443
550,Ba2P2O7,5.1483
551,Ba2P2O7,4.5725
552,Ba2P6O17,5.254700000000001
553,Ba2P6O17,5.133100000000001
554,Ba2PIO4,4.3976999999999995
555,Ba2Pb(SO4)3,4.2698
556,Ba2Pb(SO4)3,4.2393
557,Ba2Pb(SO4)3,4.3599
558,Ba2PrF7,6.2167
559,Ba2Si3GeO10,4.1604
560,Ba2Si3O8,4.5119
561,Ba2Si3O8,4.4855
562,Ba2SiO4,4.6319
563,Ba2Sr(PO4)2,5.309799999999999
564,Ba2Sr3CaMg2(SiO4)4,4.747299999999999
565,Ba2Sr3CaMg2(SiO4)4,4.755699999999999
566,Ba2SrCa3Mg2(SiO4)4,4.8951
567,Ba2SrMg4F14,6.6106
568,Ba2TbCl7,4.8529
569,Ba2TiO4,4.144
570,Ba2TiO4,4.2635
571,Ba2TmCl7,4.9744
572,Ba2Y3Si2O8F5,4.8235
573,Ba2Y5Cl19,4.2890999999999995
574,Ba2Y5Cl19,4.263999999999999
575,Ba2Y5F19,6.1194
576,Ba2Y7Cl25,4.1376
577,Ba2YB2ClO6,4.0621
578,Ba2YC2(O2F)3,5.263999999999999
579,Ba2YCl7,4.7082999999999995
580,Ba2YCl7,4.5266
581,Ba2YCl7,4.6338
582,Ba2YCl7,4.3210999999999995
583,Ba2YCl7,4.1943
584,Ba2YF7,6.9432
585,Ba2YF7,6.5161
586,Ba2YF7,6.2373
587,Ba2YF7,6.9627
588,Ba2YNi2F11,4.6917
589,Ba2Zn(BO2)6,4.2768999999999995
590,Ba2Zn2ClF7,4.3544
591,Ba2Zn2TeP2O11,4.1025
592,Ba2Zn3(PO3)10,4.5931
593,Ba2Zn3F10,4.3453
594,Ba2Zn7F18,4.0504999999999995
595,Ba2ZnF6,4.732399999999999
596,Ba2ZnSi2O7,4.0027
597,Ba2Zr2(SiO4)3,4.2351
598,Ba2ZrF8,5.9374
599,Ba3(BO3)2,4.1693
600,Ba3(Br2Cl)2,4.379700000000001
601,Ba3(PO4)2,5.1422
602,Ba3Al2B10H4O23,4.970899999999999
603,Ba3Al2F12,6.7238
604,Ba3AlF9,6.3002
605,Ba3AlF9,6.4449
606,Ba3AlF9,6.5801
607,Ba3AlHO4,4.0379000000000005
608,Ba3As2H34O25,4.1695
609,Ba3B(PO4)3,5.0114
610,Ba3B6H2O13,5.0891
611,Ba3B6O11F2,5.2662
612,Ba3Bi(BO2)9,4.286300000000001
613,Ba3Bi2F12,5.1102
614,Ba3CCl4O3,4.6687
615,Ba3Dy(BO2)9,5.1786
616,Ba3Er(BO2)9,5.217700000000001
617,Ba3Fe4P8PbO28,4.0495
618,Ba3Ga2B10H4O23,4.7953
619,Ba3Ge2(B3O8)2,4.1759
620,Ba3Ho(BO2)9,5.1913
621,Ba3In(BO2)9,4.7243
622,Ba3In2F12,4.5144
623,Ba3In2P6(HO3)6,4.755000000000001
624,Ba3La2(BO3)4,4.0127
625,Ba3La2Cl12,4.0692
626,Ba3LaCl9,4.3826
627,Ba3Li2B10(H3O11)2,5.4423
628,Ba3Lu(BO2)9,5.247299999999999
629,Ba3Mg(SiO4)2,4.6934000000000005
630,Ba3NaNd3(Si3O10)2,4.346500000000001
631,Ba3NaSm3(Si3O10)2,4.63
632,Ba3NaY3(Si3O10)2,4.7986
633,Ba3Nb2O8,4.499700000000001
634,Ba3Nd(BO2)9,5.1019000000000005
635,Ba3P3BrO10,5.0533
636,Ba3P3ClO10,5.1465
637,Ba3P4O13,5.1274
638,Ba3P4O13,5.1231
639,Ba3P6(N4O3)2,4.549800000000001
640,Ba3Pb(SO4)4,4.6277
641,Ba3Pr(BO2)9,5.0748
642,Ba3PrF9,5.8738
643,Ba3Sc(BO2)9,5.2789
644,Ba3ScCO3F7,4.549
645,Ba3Si2(B3O8)2,5.4031
646,Ba3Si5O13,4.514799999999999
647,Ba3Si6(NO6)2,4.6093
648,Ba3Si6N4O9,4.372
649,Ba3Sm(BO2)9,5.0836
650,Ba3Sr(ClF)4,5.585100000000001
651,Ba3Sr2Ca4Mg3(SiO4)6,4.8935
652,Ba3Sr4B3O9F5,4.3528
653,Ba3Sr9Al4(O4F)4,4.3095
654,Ba3SrMg2(Si2O7)2,4.4968
655,Ba3SrMg4F16,6.687799999999999
656,Ba3SrTa2O9,4.0236
657,Ba3Tb(BO2)9,5.1617999999999995
658,Ba3Tm(BO2)9,5.2609
659,Ba3Y(BO2)9,5.1876999999999995
660,Ba3Y2(B2O5)3,4.525
661,Ba3Y2Br12,4.0607
662,Ba3Y2Cl12,4.4715
663,Ba3Y2Cl12,4.3508
664,Ba3Y2Cl12,4.1287
665,Ba3Y2F12,6.8431999999999995
666,Ba3Y2F12,6.4256
667,Ba3YF9,6.227799999999999
668,Ba3ZnB5PO14,4.8405000000000005
669,Ba3ZrF10,5.7721
670,Ba4Bi3F17,4.9991
671,Ba4Br6O,4.1652
672,Ba4Cl6O,4.3647
673,Ba4Er3F17,6.4909
674,Ba4GaB10H7O24,4.3361
675,Ba4Na3Nd3P6(O12F)2,4.8457
676,Ba4NaAl2B8(ClO6)3,4.7156
677,Ba4NaB10Cl(O9F)2,5.2856
678,Ba4NaGa2B8(ClO6)3,4.4547
679,Ba4Nd3F17,6.347799999999999
680,Ba4P3HF24,6.0339
681,Ba4Y3F17,6.6616
682,Ba5Al3F19,6.9003000000000005
683,Ba5B4(O5F)2,4.5127
684,Ba5In3F19,4.7376000000000005
685,Ba5La2Cl16,4.0033
686,Ba5P3BrO12,4.963699999999999
687,Ba5P3ClO12,5.0449
688,Ba5P3O12F,5.0737000000000005
689,Ba5P3O12F,5.064
690,Ba5Si(Br3O2)2,4.2627999999999995
691,Ba5Si(Cl3O2)2,4.5485999999999995
692,Ba5Si8O21,4.5125
693,Ba5V3ClO12,4.0709
694,Ba5Y3F19,6.0969
695,Ba5Y3F19,6.5926
696,Ba5Y3F19,6.2526
697,Ba6Ca6Mg(CO3)13,4.5923
698,Ba6Mg11F34,6.5470999999999995
699,Ba6Mg7F26,6.8161000000000005
700,Ba6MgSc2C2(O3F7)2,4.1158
701,Ba6Na2Si4O15,4.1718
702,Ba6YCl15,4.6917
703,Ba6Zn7F26,4.3667
704,Ba7(ClF6)2,6.0482
705,Ba7Al64O103,4.2537
706,Ba7BrClF12,5.6222
707,Ba8Al10B12O41,4.4373
708,Ba9LiSi10C(ClO4)7,4.6715
709,Ba9Sc2(SiO4)6,4.3057
710,Ba9Y2(SiO4)6,4.5047
711,BaAl2(SiO4)2,4.911300000000001
712,BaAl2(SiO4)2,4.3451
713,BaAl2(SiO4)2,4.7813
714,BaAl2(SiO4)2,4.819699999999999
715,BaAl2B2O7,4.6477
716,BaAl2H10C2O13,4.8783
717,BaAl2O4,4.0969
718,BaAl4O7,4.1958
719,BaAl4O7,4.1765
720,BaAlB4H3O10,5.3921
721,BaAlBO3F2,6.0472
722,BaAlBO3F2,6.0642000000000005
723,BaAlCdF7,5.0553
724,BaAlF5,7.1265
725,BaAlF5,7.2887
726,BaAlF5,7.1754999999999995
727,BaAlF5,7.204
728,BaAlSi5N7O2,4.015899999999999
729,BaB2F8,8.0511
730,BaB2F8,7.8725
731,BaB2H2O5,4.7844
732,BaB2S3O13,6.181
733,BaB4O7,5.1593
734,BaB4O7,6.4658
735,BaB8H4O15,5.6377
736,BaB8O13,5.5451
737,BaBAsF10,5.0288
738,BaBClF4,5.9817
739,BaBOF3,5.8892999999999995
740,BaBPF10,7.2843
